Album|Artist|Title|BPM
Verve MGV4022 Mx: 20226-7|Ella Fitzgerald|Johnny One Note|246.62088493
Decca 995 Mx: 61123-A|Chick Webb And His Orchestra|Go Harlem|204.21080013
Decca 27164 Mx: LA-5757|Lionel Hampton And His Orchestra|Well, Oh Well|199.82425765
Decca 27680 Mx: 81216|Ella Fitzgerald|Come On-A My House|192.02004372
Blue Star 59 Mx: ST1984-2|Django Reinhardt And His Band From "Le Boeuf Sur Le Toit"/Django Reinhardt Et Son Quintette|Minor Blues|191.25892819
Verve MGV4030 Mx: 22148-5|Ella Fitzgerald|Alexander's Ragtime Band|167.74522501
V-Disc 439A Mx: 1120|Count Basie And His Orchestra|Playhouse No. 2 Stomp (Variations "on I Got Rhythm")|165.44244216
Capitol 2817 Mx: 12585-4|Duke Ellington|Band Call|164.60013742
Victor 23041 Mx: 62195-2|Duke Ellington And His Orchestra|Shout 'em Aunt Tillie|157.1906563
Brunswick 6156 Mx: E36433-A|Chick Webb And His Orchestra|Blues In My Heart|147.24845058
RCA 20-3699 Mx: D9VB1899|Count Basie And His Orchestra|Mine Too|131.17822126
Bluebird B6531 Mx: 39371-1|Duke Ellington And His Orchestra|Blues I Love To Sing|114.43801319
RCA 20-3003 Mx: D7VB2190|Count Basie And His Orchestra|Ready, Set, Go|112.9691557
Verve MGV4019-2 Mx: 22143-3|Ella Fitzgerald|Lazy|108.8808704
for public Domain. not for resale.|Roy Eldridge|Everlina1944|105.45604852
OKeh 6564 Mx: 31768|Count Basie And His Orchestra|Harvard Blues|99.7542273
Decca 2481 Mx: 65442-A|Ella Fitzgerald And Her Savoy Eight|If Anything Hapened To You|99.50614502
Vocalion 5169 Mx: WC-2596-C|Count Basie And His Orchestra|Nobody Knows You When You're Down And Out|99.04386531
for public Domain. not for resale.|Roy Eldridge|ThisYearsKisses|97.92827608
Verve MGV4022 Mx: 20249-6|Ella Fitzgerald|Where Or When|96.57679495
Brunswick 8044 Mx: LO-376-1|Duke Ellington And His Orchestra|Black Butterfly|95.39108981
OKeh 6508 Mx: 31642|Count Basie And His Orchestra|I Struck A Match In The Dark|95.21279963
Swing 127 Mx: OSW226-1|Andre Ekyan|De Nulle Part (Out Of Nowhere)|95.16888241
Decca 24529 Mx: 74622|Ella Fitzgerald|In My Dreams|91.30677089
Columbia CK87041 Mx: RHC040626-2|Duke Ellington|Blues In Orbit|84.12911831
Columbia CG 31224 Mx: 24512-1|Basie's Bad Boys|Live And Love Tonight|151.0301254
Swing 229 Mx: OEF27-1|Django Reinhardt Et Le Quintette Du Hot Club Avec Stephane Grappelly|Embraceable You|135.45369255
Swing 180 Mx: OSW332-1|Django Reinhardt Et Son (Fud Candrix) Orchestre|Zuiderzee Blues|112.79241725
Decca 1065 Mx: 39142-A|Chick Webb And His Orchestra|Blue Lou|188.60983854
Swing 203 Mx: OSW-64-1|Rex Stewart And His Feetwarmers|Low Cotton|90.6408982
Clef MGC709 Mx: 2385-1|Hampton-Tatum-Rich|Makin' Whoopee|241.84696131
Brunswick 6404 Mx: B-12344-A|Duke Ellington And His Famous Orchestra|Lightnin'|237.29985689
Victor 25342 Mx: 101667-1|Fats Waller And His Rhythm|It's A Sin To Tell A Lie|232.38349715
Decca 4203B Mx: GB6041|Duke Ellington And His Orchestra|Chicago|222.96246752
Decca 668B Mx: 60014|Jimmie Lunceford And His Orchestra|Avalon|214.95223299
Columbia 14593-D Mx: 151417-3|Thomas Fats Waller And His Hot Piano|I'm Crazy 'Bout My Baby (And My Baby Is Crazy 'Bout Me)|181.92184442
Decca F-6616 Mx: DTB3525-1|Quintette du Hot Club de France|Night And Day|180.79356847
Bluebird B-10116 Mx: 031534-1|Fats Waller And His Rhythm|Hold Tight (Want Some Seafood, Mama)|179.1109936
V-DISC-308A2|Fats Waller|All That Meat and No Potatoes|147.26533006
Victor 25415 Mx: 0339-1|Fats Waller And His Rhythm|S'posin'|137.09883474
Columbia OL-6770 Mx: B-12774-B|Adelaide Hall With Duke Ellington And His Famous Orchestra|Baby!|118.84569513
Decca 3236A Mx: 67358|Ella Fitzgerald And Her Orchestra|Take It From The Top|148.3695716
CO38591 COLUMBIA-38519|DUKE ELLINGTON'S ORCH|I COULD GET A MAN|92.27909297
Columbia CL1445 Mx: C064450-3|Duke Ellington & His Award Winners|The Swingers Get The Blues, Too|102.65937336
Swing 249 Mx: OSW418-1|Django Reinhardt Et Le Quintette Du Hot Club De France|On The Sunny Side Of The Street|121.33712669
Decca 1716 Mx: 63888-A|Chick Webb & His Orch. Feat. Ella Fitzgerald|If Dreams Come True|176.63335297
Brunswick 7546 Mx: 18072-A|Duke Ellington And His Orchestra|Reminiscing In Tempo - Part 1|100.18697516
JB485 V-DISC-795|DUKE ELLINGTON'S ORCH|ON THE SUNNY SIDE OF THE STREET|100.93342287
Brunswick 6265 (78)|Duke Ellington & His Famous Orchestra|It Don't Mean a Thing (If It Ain't Got That Swing)|216.65206231
Meritt 4 Mx: TO-1210|Fats Waller/Monette Moore|Medley: 1 A Shine On Your Shoes  2 Lousiana Hayride|182.73383036
